Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At, Annual Revenue ,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score
Al Haif Trading Company LLC,Al Haif Trading Company,Cold,,10,packaging & containers,abdullahshami97@gmail.com,,http://www.linkedin.com/company/al-haif-trading-company-llc,https://facebook.com/HaifCompany,https://twitter.com/HaifCompany,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates",,,,,,,,,4443000.00,,66dbffc51be2b000011d4636,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac09a4ccae0001634980/picture,,,,
Yogoday,Yogoday,Cold,,11,restaurants,abdullahshami97@gmail.com,http://www.yogoday.com,http://www.linkedin.com/company/yogoday,https://facebook.com/Yogoday,https://twitter.com/yogoday,,Abu Dhabi,Abu Dhabi,United Arab Emirates,,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,Remote,,,,,3475000.00,,66dbffc51be2b000011d463d,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,,,,
Ras Al Khaimah Government Media Office,Ras Al Khaimah Government Media Office,Cold,,29,government relations,abdullahshami97@gmail.com,http://www.rakmediaoffice.ae,http://www.linkedin.com/company/rakmediaoffice,https://www.facebook.com/RAKMediaOffice/,https://twitter.com/RAKmediaoffice,,,Ras al Khaimah,United Arab Emirates,73702,"Ras al Khaimah, United Arab Emirates, 73702",,'+971 7 203 9999,,"Cloudflare DNS, Mimecast, Outlook, MailChimp SPF, Microsoft Office 365, reCAPTCHA, DoubleClick Conversion, Twitter Advertising, Google AdWords Conversion, Linkedin Marketing Solutions, YouTube, Mobile Friendly, DoubleClick, Google Dynamic Remarketing, Google Analytics, Bootstrap Framework, WordPress.org, Facebook Widget, Google Tag Manager, Google Remarketing, Facebook Custom Audiences, Apache, Facebook Login (Connect), TikTok, AI",,,,,3000000.00,,66dbffc41be2b000011d43ae,,"Ras Al Khaimah Media Office was established through Law No. 5 issued in 2018 by His Highness Sheikh Saud bin Saqr Al Qasimi, member of the Supreme Council and Ruler of Ras Al Khaimah; with the aim of elevating Ras Al Khaimah's media plan to be in line with the state's strategy. The office intends to make significant leaps in media management to be in parallel with the developments achieved in commercial, tourism, and industrial sectors in Ras Al Khaimah.

Ras Al Khaimah Media Office conducts media studies, surveys, and databases comprised of all information, activities, and news related to the Ras Al Khaimah government. The office also promotes and builds effective and communicative relationships with various local, regional, and international media organizations. The goal is to elevate the state of media to new horizons of excellence and success by adopting a culture of work that embraces credibility, integrity, transparency, and accuracy to deliver information professionally.

Ras Al Khaimah Media Office is made up of a highly experienced administration with a wide knowledge of broadcasting, intent on meeting the top standards and requirements when it comes to modern technologies, globalization, and social networking platforms during a stage that is witnessing a radical change in the rules of media handling, coverage, and transmission.",2018,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66dbbfb792f767000140a116/picture,,,,
Dubai Sky Clinic - Dental Center,Dubai Sky Clinic,Cold,,11,medical practice,abdullahshami97@gmail.com,http://www.dubaiskyclinic.com,http://www.linkedin.com/company/dubai-sky-clinic,https://facebook.com/DubaiSkyClinic,https://twitter.com/dubaiskyclinic,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","preventive dentistry, aesthetic dentistry, endodontics, root canal, periodontics, orthodontics, implantology, oral surgery, laser dentistry, teeth whitening, tmj disorders, digital dentistry",'+971 50 384 0046,,"Cloudflare DNS, Rackspace Email, CloudFlare Hosting, Facebook Custom Audiences, Google Tag Manager, WordPress.org, Bootstrap Framework, Facebook Login (Connect), YouTube, Vimeo, Mobile Friendly, Google Analytics, DoubleClick Conversion, Facebook Widget, DoubleClick, Google Font API, Google Dynamic Remarketing",,,,,3671000.00,,66dbffc41be2b000011d43bb,8000,"Dubai Sky Clinic is a medical practice company based out of 21st Floor, Burjuman Business Tower,Trade Centre Road, Dubai, United Arab Emirates.",2007,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66db7c08c92e4d0001dd5e3b/picture,,,,
Binghalib Engineering,Binghalib Engineering,Cold,,64,electrical/electronic manufacturing,abdullahshami97@gmail.com,http://www.binghalibeng.com,http://www.linkedin.com/company/binghalib-engineering,https://www.facebook.com/binghalibengineering/,,,Sharjah,Sharjah,United Arab Emirates,,"Sharjah, Sharjah, United Arab Emirates","low voltage switchgear, mcc, db, plc, power panels, motor control centers, quality control, hv testing, lv commissioning, onsite testing, modification, retrofit, engineering studies, synchronizing panels, capacitor banks, binghalib engineering, switchgear manufacturing, scada, dcs, ct polarity tests, onsite analysis",'+971 6 513 5777,"Binghalib Engineering is a Low Voltage Switchgear Services and Control Panel manufacturing Company, of more than 5000Sqm with offices in Sharjah, Dubai, Abu Dhabi, Oman and Qatar. Call +971 6 513 5777","Microsoft Office 365, Google Cloud Hosting, Google Maps, Vimeo, Adobe Media Optimizer, Cedexis Radar, Nginx, Google Font API, Mobile Friendly, Stripe, Bootstrap Framework, Google Analytics, WordPress.org, Google Maps (Non Paid Users), SAP, Dynamics 365 Business Central",,,,,3706000.00,,66dbffc41be2b000011d43c7,,"Operating for over three decades, Binghalib Engineering is one of the UAE's oldest and most reliable LV Switchgear Manufacturers, with a reputation for honesty, quality and reliability. From LV Commissioning and On-site Testing to Installation and Annual Maintenance, Binghalib Engineering offers total LV solutions.",1982,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d09835524f71000164c37b/picture,,,,
AEEDC DUBAI,AEEDC DUBAI,Cold,,10,medical practice,abdullahshami97@gmail.com,http://www.aeedc.com,http://www.linkedin.com/company/aeedcdubai,https://facebook.com/AEEDCDubai,https://twitter.com/AEEDCDubai,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","events, dental, dentistry, conference, exhibition",'+971 4 520 8888,,"Outlook, Microsoft Office 365, Hubspot, Hotjar, Mobile Friendly, DoubleClick Conversion, Bootstrap Framework, WordPress.org, Google Analytics, Google Dynamic Remarketing, Facebook Widget, Linkedin Marketing Solutions, Facebook Login (Connect), DoubleClick, Google Font API, Google Tag Manager, Facebook Custom Audiences, Remote",,,,,1824000.00,,66dbffc41be2b000011d43d1,,"AEEDC Dubai is the largest dental event in the world. AEEDC Dubai is now stepping into its 29th year. AEEDC Dubai 2025 will take place from 4-6 Feb 2025 in Dubai World Trade Center, Dubai, UAE. 

A pioneer in the world of dentistry, AEEDC Dubai has cemented its position as the premier global dental conference and exhibition. This prestigious event, boasting the title of ‘The Largest Annual Scientific Dental Conference and Exhibition in the World,' attracts a distinguished audience of dental experts, academics, and industry leaders from all over the world.

Serving the dental and oral health sector since 1996 as The ‘UAE International Dental Conference & Arab Dental Exhibition' (or AEEDC Dubai  for short), AEEDC Dubai has mirrored the remarkable rise of Dubai itself, transforming from a local gathering to a pivotal scientific hub that convenes the brightest minds in dentistry from across the globe. This remarkable journey reflects AEEDC Dubai's unwavering commitment to knowledge exchange and innovation, solidifying its place at the forefront of the dental world.",1996,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66c79ccad8f58a0001389513/picture,,,,
AZTech Training & Consultancy,AZTech Training & Consultancy,Cold,,21,professional training & coaching,abdullahshami97@gmail.com,http://www.aztechtraining.com,http://www.linkedin.com/company/aztechtraining,https://www.facebook.com/training.aztech,http://www.twitter.com/aztech_training,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","professional development training, customised inhouse training, business consultancy services, training courses, seminars & workshops",'+971 4 427 5400,"AZTech Training is a leading international provider of Training Courses in Dubai, London, Istanbul that cover from Management, Finance, Technical, Oil & Gas.","Cloudflare DNS, TurboSMTP, Outlook, CloudFlare Hosting, Google Font API, reCAPTCHA, Google Tag Manager, YouTube, Mobile Friendly, Facebook Custom Audiences, WordPress.org, Smartsupp",,,,,2400000.00,,66dbffc41be2b000011d4417,,"AZTech is a leading international provider of training courses, seminars, workshops, programs, conferences, and in-house training. At AZTech, we constantly strive towards enabling our clients to achieve optimum training results, through state-of-the-art learning systems, geared by industry best practices.

With growing business requirements and the need to meet organisational demands, acquiring the right skills and techniques to achieve them, is of paramount significance. 

We deliver a wide range of cutting edge training that include:

• Strategy and Planning
• Management and Leadership
• Sales and Marketing
• Human Resource Management
• Finance and Accounting
• Contracts Management
• Project Management
• Purchasing and Supply Chain
• Maintenance Engineering
• Mechanical Engineering
• Electrical Engineering
• Health, Safety, and Environment
• Oil and Gas Technology
• Information Technology
• Essentials and Advanced Courses
• Best Practices Series

ABOUT US

Our comprehensive portfolio of more than 500-skill building professional development programmes cover a range of industry from Strategy to Health, Safety & Security, we have it all from A-Z.

AZTech is all about ensuring that our delegates get Quality Assured Training and this commitment in delivering the best possible learning experience is demonstrated by our continuous working relationship with 13 of the world's leading professional governing and certifying bodies.

We take strength from our network of more than 200 experienced professionals who provides us extensive knowledge of the private industry, business and government enterprises allowing us to develop industry leading comprehensive training programmes.

AZTech strives to provide the best learning setting possible, as such, we have hand-picked 16 exciting venues worldwide where our delegates can fully immerse themselves and enhance the over-all learning experience.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66c84c1a2b1102000141aab0/picture,,,,
EMove Global,EMove Global,Cold,,26,,abdullahshami97@gmail.com,http://www.emoveglobal.com,http://www.linkedin.com/company/emoveglobalshipping,https://facebook.com/pages/EMove-Global/586711658066116,https://twitter.com/emovefz,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","air shipping, marine shipping, customs clearance, land shipping, express mail service, door to door shipping",'+971 4 422 9557,,"Outlook, GoDaddy Hosting, Cloudflare DNS, CloudFlare Hosting, Google Maps, Google Font API, Apache, Mobile Friendly, WordPress.org, ASP.NET, Bootstrap Framework",,,,,560000.00,,66dbffc41be2b000011d441c,,"EMove  was founded in 2006 in Dubai, the UAE. Since then, the company has developed and expanded its expertise in air and ocean freight, special projects and road transport. As an independent freight forwarder, it has built up a comprehensive global network with exclusive agents in major city of the world. Our effective partnerships with carriers offer clients high levels of service and expertise to meet their most demanding logistic needs. Reliability and flexibility are EMove's hallmark, offering you tailor-made solutions to today's complex logistical challenges.",2005,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/662f76a13883dd000719b82b/picture,,,,
UAQ Free Trade Zone,UAQ Free Trade Zone,Cold,,77,government administration,abdullahshami97@gmail.com,http://www.uaqftz.com,http://www.linkedin.com/company/uaqftz,https://www.facebook.com/uaqftz,https://twitter.com/UAQFTZA,,Umm Al Quwain,Umm Al Quawain,United Arab Emirates,,"Umm Al Quwain, Umm Al Quawain, United Arab Emirates",government licensing authority,'+971 6 764 7272,Explore business setup opportunities in the UAE with UAQ Free Trade Zone.Company Formation Made Easy.,"Outlook, DigitalOcean, Linkedin Marketing Solutions, Mobile Friendly, Apache, DoubleClick Conversion, Wix, Google Tag Manager, Google Dynamic Remarketing, Bing Ads, reCAPTCHA, Google AdWords Conversion, Bootstrap Framework, DoubleClick, YouTube, Google Analytics",,,,,3699000.00,,66dbffc41be2b000011d4424,8600,"Umm Al Quwain Free Trade Zone is situated close to the UAE's primary sea ports and within one hour's drive of Dubai International Airport and Sharjah International Airport, ensuring easy access to the rest of the world.

Thanks to UAQ FTZ's investor-friendly environment, establishing a commercial base in the UAE has never been simpler. Forward-thinking SMEs and micro-businesses in particular will benefit from advantageous set-up costs, 100% company ownership and zero currency restrictions.

This is the Free Zone of the future, where progressive companies – regardless of the sector in which they operate – can enjoy doing business in a safe, secure and prosperous environment. With UAQ FTZ, the sky's the limit.",1987,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d994c7eae02000013629d9/picture,,,,
American Medical & Dental Center (AMDC),American Medical & Dental Center,Cold,,15,medical practice,abdullahshami97@gmail.com,http://www.americanmdcenter.com,http://www.linkedin.com/company/amdcuae,https://www.facebook.com/AMDCUAE,https://twitter.com/AMDCUAE,,دبي,دبي,United Arab Emirates,,"دبي, دبي, United Arab Emirates",,'+971 4 374 8428,American MD Center is one of the best dental clinic in Dubai. We have the best dentists in Dubai offering wide range of dental care services and treatments.,"Outlook, Google Font API, WordPress.org, Google Tag Manager, Facebook Custom Audiences, Facebook Widget, DoubleClick Conversion, Google Analytics, Google Dynamic Remarketing, Google Maps, Mobile Friendly, Shutterstock, reCAPTCHA, Hotjar, Facebook Login (Connect), DoubleClick, Vimeo, YouTube, AI",,,,,4312000.00,,66dbffc41be2b000011d4428,8000,"The American Medical & Dental Center (AMDC) has been providing quality dental care for more than 10 years in the USA, and proudly been in Dubai,
UAE since 2006.We pride ourselves in delivering an individual patient care approach to serve the unique needs of our patients in and around the UAE – before, during and after your treatment. We guarantee the highest level of dental concierge service Dubai has to offer in a compassionate, discreet and respectful manner.
With patients flying in from different parts of the world daily to see your expert dentists, we are here to help coordinate every step of your treatment journey.",2006,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66cd7122ad229b00014ef5e9/picture,,,,
Ray Fit Out & Interior Decor LLC,Ray Fit Out & Interior Decor,Cold,,14,construction,abdullahshami97@gmail.com,http://www.rayfitout.com,http://www.linkedin.com/company/ray-fit-out-interior-decor-llc,https://www.facebook.com/rayfitout,,,دبي,دبي,United Arab Emirates,,"دبي, دبي, United Arab Emirates",interior fitout & interior design,'+971 800 72943,"Transform your space with Ray Fitout, the premier interior design and fit out company in Dubai. With over 33 years of experience, we specialize in creating stunning and functional interiors for homes, retail outlets, restaurants, offices, hotels, and more.","Gmail, Google Apps, Google Cloud Hosting, Mobile Friendly, Facebook Widget, Google Tag Manager, Google Font API, Varnish, Wix, Facebook Login (Connect), Remote, Reviews, Android, Basis, TikTok",,,,,1200000.00,,66dbffc41be2b000011d442d,,Ray Fit Out & Interior Decor LLC is one of the leading turnkey design and fit out firm with over 33 years of experience and more than 1000 successful projects in various industries.,1990,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66c6b8c4ed14220001b43345/picture,,,,
ServiceMarket,ServiceMarket,Cold,,41,insurance,abdullahshami97@gmail.com,http://www.servicemarket.com,http://www.linkedin.com/company/servicemarket,https://www.facebook.com/myservicemarket,https://twitter.com/myservicemarket,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","international movers, home cleaning, movers & packers, handyman, electrician, plumbers, painters, self storage, caterers, home insurance, car insurance, pest control, maintenance, car shipping, babysitter, deep cleaning, water tank cleaning, mattress cleaning, carpentry, ac maintenance",'+971 600 587009,"Looking for movers? A cleaner? A handyman? Car insurance? Get free quotes, book online and get offers for home services in Dubai only from ServiceMarket","Cloudflare DNS, Mailchimp Mandrill, MailJet, Gmail, Google Apps, Zendesk, Amazon AWS, CloudFlare Hosting, Facebook Conversion Tracking, React Redux, React, iTunes, DoubleClick, Facebook Custom Audiences, Google Maps, Mobile Friendly, Google Analytics, Shutterstock, Ad Unit 300 x 600, Facebook Widget, Hotjar, Google Tag Manager, Vimeo, Disqus, Facebook Login (Connect), Google Play, DoubleClick Conversion, Google Dynamic Remarketing, Ad Unit 728 x 90, Google AdWords Conversion, Google AdSense, WordPress.org, Google Font API",7000000,Series B,4000000,9/14/2018,4000000.00,,66dbffc41be2b000011d4433,"7372, 5960","ServiceMarket is one of Dubai's fastest growing startups. It is the largest portal in the UAE that connects residents with professional and licensed moving, insurance and home services companies. 

On the site, customers can discover companies, read verified reviews, and book or request quotes for any service they need around the home. Currently, we are offering over 35 different home services. We also have an Android and iOS app that allows customers to directly book services on their phones at their convenience.

In 2017, we successfully connected over 150,000 customers to international movers, cleaning services, car insurance companies, painting services, maintenance companies, storage companies, babysitters, caterers, etc. in Dubai, Abu Dhabi, Sharjah and Doha. 

In 2018, we secured USD 4 million in our series B funding round that will help us offer a wider range of services and a better customer experience.

As we grow and evolve, we are looking to expand our team in multiple areas (Technology, Product Development, Operations, Marketing, and Sales). Team members can expect to work in a dynamic, ambitious and fun environment.",2013,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d714eed185f9000176058f/picture,,,,
Pipeco Group,Pipeco Group,Cold,,47,building materials,abdullahshami97@gmail.com,http://www.pipecogroup.com,http://www.linkedin.com/company/pipecogroup,https://www.facebook.com/pipecogroups,https://twitter.com/pipecogroup,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","grp water tanks, grp cylindrical tanks, hdg tanks, steeliness steel tanks, cylindrical water tanks",'+971 50 424 5888,"Pipeco Group is one of the best water storage tank manufacturers and suppliers. We specialize in the manufacturing of GRP water tank, Steel Water Tanks, GLS water tank for fighting water, industrial liquids, drinking water, etc. Contact Us Now!","GoDaddy Hosting, Woo Commerce, Google Maps, WordPress.org, Bootstrap Framework, Google Maps (Non Paid Users), Google Tag Manager, Apache, Mobile Friendly, Google Font API, Remote",,,,,4851000.00,,66dbffc41be2b000011d447a,,"We are delighted to introduce our water storage tank products and pipe fittings. 

Pipeco Group is one of the leading manufacturers, suppliers, and exporters of GRP Water Tanks in the world. we have successfully delivered services for over two decades and will promise to continue with the same services for our potential clients.

Our Products:
1) GRP Water Tanks
2) HDG Water Tanks
3) Cylindrical Water Tanks
4) Pipes & Fittings
5) Eazy Water Tanks
6) GRP Doors
7) GRP Ceilings
8) GRP Bathtub
9) Toilet Cubicle

Our GRP Tank designed and manufactured under BS EN 13280: 2001 and certified by ISO, WARS.

We have our own manufacturing plant located in Gimhae, Korea is our large-scale plant and research center. We at Pipeco dedicatedly focus on ongoing development and production to lead the industry.

We are working on our commitments to enhance and reach our goal. Pipeco ensures its team to deliver the timely installation of water tanks. 

We guarantee our products, and we never compromise with quality standards and it beats the best in the market at present. Our products have made their grasp also with overseas market and getting excellent feedback.

We are so well connected with our quality of production that we receive positive feedback from our valuable customers. And many of our vendors are also immensely satisfied with our products and services.

We ask for your continuing interest and support. If do you have any kind of requirements reach via sales@pipecogroup.com

Thanks & Regards
Pipeco Group
sales@pipecogroup.com
www.pipecogroup.com
+971 50 424 5888",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66ce9f67cc09f3000181f5e2/picture,,,,
baraka (YC S21),baraka,Cold,,71,financial services,abdullahshami97@gmail.com,http://www.getbaraka.com,http://www.linkedin.com/company/getbaraka,https://www.facebook.com/GetBaraka-101594961718331,https://twitter.com/getbaraka,شارع البورصة,Dubai,Dubai,United Arab Emirates,,"شارع البورصة, Dubai, Dubai, United Arab Emirates","investing, wealth management, stocks, etfs",,baraka is an investment and US stocks trading platform built to empower the next generation of Middle East investors.,"Mailchimp Mandrill, Gmail, Google Apps, Amazon SES, WordPress.org, DoubleClick, reCAPTCHA, Yahoo Analytics, Mobile Friendly, Facebook Login (Connect), Google Dynamic Remarketing, YouTube, Google Analytics, Google Font API, Facebook Custom Audiences, Stripe, Google Tag Manager, DoubleClick Conversion, Facebook Widget, Android, React Native, Basis, , Remote, Flutter, AI",25000000,Series A,20000000,11/1/2022,1000000.00,,66dbffc41be2b000011d447f,,"baraka is a wealth app that enables you to invest in a diverse range of assets customized to your goals. We are here to help you learn about building your net worth.
Regulated by the DFSA.",2021,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d60f0ba8c92f0001c99829/picture,,,,
Arch Design Centre- Consulting Engineers,Arch Design Centre- Consulting Engineers,Cold,,62,,abdullahshami97@gmail.com,,,https://facebook.com/ADCALAIN,https://twitter.com/ARCHDESIGNCENTR,,Al Ain,Abu Dhabi,United Arab Emirates,,"Al Ain, Abu Dhabi, United Arab Emirates",,,中国彩票大发福彩快三在线计划免费网页版打造精准、稳定的大发福彩快三计划推荐和结果查询服务。全面历史数据统计、多样化算法，还有中国福利彩票3D预测，福彩双色球预测，每天实时更新。,"Nginx, Mobile Friendly",,,,,2825000.00,,66dbffc41be2b000011d4493,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/5fe685709f99fa00013f2bea/picture,,,,
United Global Services Company (TM),United Global Services Company,Cold,,15,transportation/trucking/railroad,abdullahshami97@gmail.com,http://www.tm.sa,http://www.linkedin.com/company/united-global-services-company-tm,https://facebook.com/tmcompanysa,https://twitter.com/tmcompanysa,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates",,'+966 9200 25326,"We Create Sustainable Waste Management Solutions and manage waste in cities, industries, offices and homes. Our Services Include Waste Transportation and Collection, Industrial Waste Collection, Compactor Rental Service, Garbage/Linen Chute Installation.","Outlook, Microsoft Office 365, Blue Host, Nginx, Bootstrap Framework, Apache, Mobile Friendly, SAP, Android, Stamped, Basis, Micro, Muvi",,,,,1500000.00,,66dbffc41be2b000011d449b,4950,"United Global Services (TM®) is one of the leading waste management companies in the gulf. We have been meeting the needs of a variety of businesse sectors since 2010. TM® provides waste managemt solutions in the form of products and services. We make it convenient for you to get rid of your waste in the easiest and best possible way by offering you a premium rage of compactors and other equipment.

Some of our equipment help in compressing waste to as less as 50%.We are working towards contributing to a better, brighter and greener future by managing one of the top issues of the world.

Currently United Global Services is well established in Saudi Arabia and has recently started operations in Dubai, UAE.",2010,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66da63144cc6c70001b1a3d5/picture,,,,
GroCart - جروكارت,GroCart,Cold,,13,wholesale,abdullahshami97@gmail.com,http://www.grocart.ae,http://www.linkedin.com/company/grocart,https://facebook.com/grocart.ae/,,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates",,,,"Route 53, Mailchimp Mandrill, Gmail, Google Apps, Amazon AWS, Google Tag Manager, Ubuntu, Nginx, Google Maps, Google Font API, Mobile Friendly, IoT, Remote, TikTok, Basis, Android, Flutter",,,,,1100000.00,,66dbffc41be2b000011d44a5,,"GROCART is a smart B2B wholesale food & grocery marketplace that makes it easy for suppliers to sell and deliver their products to small businesses like groceries and supermarkets.

GROCART helps RETAILERS to have convenience & speed in ordering process, with reasonable wholesale prices for more than 30,000 products.
GROCART helps SUPPLIERS to automate order collection process, increase profitability, remove risk, with additional sales from all items.

WE ARE BUILDING THE NEXT BIG THING IN WHOLESALE SUPPLY CHAIN!",2020,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66ca205a88b305000123d8bc/picture,,,,
Luxury Estates Real Estate,Luxury Estates Real Estate,Cold,,14,real estate,abdullahshami97@gmail.com,http://www.luxuryestates.ae,http://www.linkedin.com/company/luxury-estates-real-estate,https://www.facebook.com/luxuryestatesae,https://twitter.com/SnsPropertiez,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates",,'+971 50 570 3785,,"Outlook, Microsoft Office 365, GoDaddy Hosting, Amazon AWS, Facebook Login (Connect), Disqus, Facebook Custom Audiences, Google Maps (Non Paid Users), Vimeo, Google Analytics, Microsoft-IIS, Google Tag Manager, ASP.NET, Google Font API, Google Maps, Mobile Friendly, Facebook Widget, Google AdSense",,,,,1363000.00,,66dbffc51be2b000011d44dd,,Luxury Estates' mission is to help you find your perfect property in Dubai using our local expertise with our comprehensive list of real estate services to clients.  We are a full-service real estate boutique and advisory firm in the UAE with comprehensive property portfolio and well-built partnership with major property developers in the region.,2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/669d62f0a7d16f00014bf16f/picture,,,,
Exeter Medical Center for Bone & Joint Health,Exeter Medical Center for Bone & Joint Health,Cold,,54,hospital & health care,abdullahshami97@gmail.com,,http://www.linkedin.com/company/exeter-medical-center-emc-,https://facebook.com/ExeterMedicalCenter,https://twitter.com/EMCAbuDhabi,942 شارع الخليج العربي,Abu Dhabi,Abu Dhabi,United Arab Emirates,,"942 شارع الخليج العربي, Abu Dhabi, Abu Dhabi, United Arab Emirates","sports injuries, foot ankle surgery, msk radiology, physiotherapy amp rehabilitation, physiotherapy rehabilitation, pediatric orthopedics, joint replacement surgeries, neurosurgery, shoulder upper limb, shoulder amp upper limb, spine surgery, foot amp ankle surgery, rheumatology, hand surgery",,,"Amazon AWS, Mobile Friendly, Apache, Remote, Circle, Paytm, Snowflake, AI",,,,,4604000.00,,66dbffc51be2b000011d44e5,"8000, 8060","Specialised Musculo-Skletal Medical Center, covering different Orthopedic specialties, including, Spinal Surgery, Sports injuries, Shoulder and upper limb, Hand surgery, Foot & Ankle, pediatric Orthopedics, Joint replacement. the center is also equipped with Laboratory, and Radiology department, including open MRI. Started with Al Bateen Center in Abu Dhabi in 2010, Dubai branch started in July 2010 in Jumirah 1 area, behind village mall. and opining soon in Al Ain city. for more information and communication, please visit our website www.exetermedicalcenter.com",2010,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/65aacf8721104600016d3c8c/picture,,,,
Boxit Co,Boxit Co,Cold,,27,,abdullahshami97@gmail.com,http://www.boxit.co,,https://www.facebook.com/boxitstorage,https://www.twitter.com/boxitstorage,Al Sufouh Road,Dubai,Dubai,United Arab Emirates,,"Al Sufouh Road, Dubai, Dubai, United Arab Emirates",,'+971 800 26948,"Get Affordable & Trustworthy self storage services in Dubai, UAE & Kuwait. Fastest growing storage company from Dubai. ✓Good Value for money ✓Easy Moving, Storage","Gmail, Google Apps, Amazon AWS, Route 53, Facebook Custom Audiences, Google Analytics, Google Dynamic Remarketing, Facebook Widget, Facebook Login (Connect), Google Font API, Google Maps (Non Paid Users), Mixpanel, Google Play, Google Maps, Mobile Friendly, Google Tag Manager, YouTube, DoubleClick Conversion, DoubleClick, IoT, AI, SharePoint, Flutter, Android, Python, Node.js",,,,,1767000.00,,66dbffc51be2b000011d44e9,,Box-it is an online platform that  provides professional document storage and management services.,2015,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/5feaa02fabf9330001814801/picture,,,,
Chestertons Global,Chestertons Global,Cold,,34,real estate,abdullahshami97@gmail.com,http://www.chestertons.com,http://www.linkedin.com/company/chestertonsglobal,https://www.facebook.com/Chestertons.globalnetwork/,https://twitter.com/Chestertons,شارع حمودة بن علي الظاهري,Abu Dhabi,Abu Dhabi,United Arab Emirates,,"شارع حمودة بن علي الظاهري, Abu Dhabi, Abu Dhabi, United Arab Emirates","real estate agency, valuations, advisory & research, property management, international sales, global new homes, management, franchising",'+44 20 7629 4513,"Chestertons is one of the most recognised real estate brands globally, operating across the UK, Europe, Asia, Caribbean, Middle East and North Africa.","Mimecast, Outlook, Microsoft Office 365, Amazon AWS, WordPress.org, reCAPTCHA, Google Tag Manager, Facebook Widget, Mobile Friendly, Cedexis Radar, Google Maps, Google Maps (Non Paid Users), Vimeo, Nginx, Apache, Google Font API, Bootstrap Framework, Typekit, Facebook Login (Connect), Ubuntu, Google Analytics, Facebook Custom Audiences, Adobe Media Optimizer",,,,,1131000.00,,66dbffc51be2b000011d44eb,,"Chestertons is a global real estate services firm, operating across the UK, Europe, Asia Pacific, Caribbean, Middle East and North Africa. 
 
We provide expert advice on the purchase, sale and leasing of all types of commercial and residential real estate, including management of property portfolios, valuations and appraisals, as well as capital market advice to help clients to develop viable strategic opportunities from their real estate portfolios. 
 
Are you interested in becoming a new member of the Chestertons Global Network? Join our Global Network and use our brand and expertise to grow your business globally.",1805,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66db7f67bfadfe00012a890a/picture,,,,
Hme Models,Hme Models,Cold,,38,,abdullahshami97@gmail.com,,,https://facebook.com/hmemodel,https://twitter.com/HMEModels,,Abu Dhabi,Abu Dhabi,United Arab Emirates,,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,,,,4033000.00,,66dbffc51be2b000011d44f3,,HME Models is a full service modelling agency.,2014,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/605af896f9b20700012e678d/picture,,,,
